FILE_NAME,CLUSTER_NUM,CLUSTER_MEMBER,MEMBER_ENERGY,MEMBER_SCORE,SP-dG,Polar,Nonpolar,Inter,Polar15,RMSD,ligand,frame,seed
seed-1-7-1-2-0.crd,1,1,12.532413,12.532413,-7.7685,13.9836,-48.9888,-35.0053,-28.0135,35.8392,Robinetin,9,seed-1-7-1-2-0
seed-1-23-1-2-2.crd,8,6,63.680303,63.680303,-7.7639,17.773,-51.3916,-33.6186,-24.7321,41.9141,Isoorientin,62,seed-1-23-1-2-2
seed-1-4-0-1-0.crd,1,1,-20.369429,-20.369429,-7.7565,12.5399,-47.927,-35.3871,-29.1172,36.1975,Tricetin,9,seed-1-4-0-1-0
seed-1-14-0-0-1.crd,8,6,84.162073,84.162073,-7.7549,13.6577,-48.6336,-34.9759,-28.147,41.6022,Baicalin,49,seed-1-14-0-0-1
seed-1-12-0-1-0.crd,0,3,12.200989,12.200989,-7.7539,14.0485,-48.8765,-34.828,-27.8038,36.3247,Robinetin,3,seed-1-12-0-1-0
seed-1-6-0-1-0.crd,0,4,12.427415,12.427415,-7.7512,14.7968,-49.3313,-34.5345,-27.1361,36.2479,Robinetin,4,seed-1-6-0-1-0
seed-1-3-0-3-3.crd,4,3,53.582121,53.582121,-7.7498,22.2784,-54.1574,-31.8789,-20.7397,42.3443,Isoorientin,35,seed-1-3-0-3-3
seed-1-3-0-1-0.crd,0,5,12.447437,12.447437,-7.7498,14.8087,-49.3243,-34.5156,-27.1113,36.2352,Robinetin,5,seed-1-3-0-1-0
seed-1-3-1-2-0.crd,26,2,52.540045,52.540045,-7.7479,21.1442,-53.4031,-32.2588,-21.6867,39.1338,Phlorizin,130,seed-1-3-1-2-0
seed-1-24-1-2-3.crd,24,1,51.77382,51.77382,-7.7478,20.97,-53.2898,-32.3198,-21.8348,39.6258,Phlorizin,126,seed-1-24-1-2-3
seed-1-23-0-0-2.crd,11,2,62.15923,62.15923,-7.746,12.0056,-47.4713,-35.4657,-29.4629,43.3022,Isoorientin,68,seed-1-23-0-0-2
seed-1-11-1-0-1.crd,19,1,85.609467,85.609467,-7.7454,19.9015,-52.5728,-32.6713,-22.7206,42.2172,Baicalin,85,seed-1-11-1-0-1
seed-1-14-1-2-3.crd,0,1,-20.879299,-20.879299,-7.7428,11.2283,-46.9346,-35.7062,-30.092,36.4948,Tricetin,1,seed-1-14-1-2-3
seed-1-4-1-2-0.crd,13,1,82.791474,82.791474,-7.7425,17.5129,-50.9966,-33.4837,-24.7272,40.8795,Baicalin,62,seed-1-4-1-2-0
seed-1-17-1-2-2.crd,2,7,51.907723,51.907723,-7.7371,22.7883,-54.352,-31.5637,-20.1696,39.4645,Phlorizin,23,seed-1-17-1-2-2
seed-1-11-0-1-2.crd,12,3,89.908,89.908,-7.7332,4.2531,-42.3204,-38.0672,-35.9407,40.5403,Baicalin,61,seed-1-11-0-1-2
seed-1-2-1-2-3.crd,1,4,-17.556378,-17.556378,-7.7315,12.7026,-47.7681,-35.0655,-28.7142,36.2511,Tricetin,12,seed-1-2-1-2-3
seed-1-3-0-0-3.crd,5,3,82.671913,82.671913,-7.7315,20.2424,-52.6459,-32.4036,-22.2824,40.7933,Baicalin,26,seed-1-3-0-0-3
seed-1-3-0-1-0.crd,1,7,-11.863731,-11.863731,-7.7314,12.2962,-47.5045,-35.2084,-29.0603,36.2144,Tricetin,15,seed-1-3-0-1-0
seed-1-9-1-2-0.crd,13,7,58.38304,58.38304,-7.7298,14.3537,-48.8187,-34.4651,-27.2882,38.9556,Phlorizin,79,seed-1-9-1-2-0
seed-1-6-0-2-2.crd,16,1,50.040395,50.040395,-7.7263,13.3561,-48.1362,-34.7801,-28.1021,41.0876,Phlorizin,91,seed-1-6-0-2-2
seed-1-3-1-2-3.crd,0,2,-20.159327,-20.159327,-7.7251,12.1333,-47.3324,-35.1991,-29.1325,36.3602,Tricetin,2,seed-1-3-1-2-3
seed-1-18-0-3-2.crd,11,1,6.005922,6.005922,-7.7228,1.6884,-40.5508,-38.8624,-38.0182,37.7927,Myricetin,68,seed-1-18-0-3-2
seed-1-14-0-3-0.crd,5,1,14.150745,14.150745,-7.7173,3.7437,-41.8225,-38.0789,-36.207,37.4638,Robinetin,34,seed-1-14-0-3-0
seed-1-9-0-0-0.crd,0,8,-16.28947,-16.28947,-7.7154,12.7979,-47.6603,-34.8625,-28.4635,36.7033,Tricetin,8,seed-1-9-0-0-0
seed-1-3-1-2-1.crd,10,5,54.88702,54.88702,-7.7152,17.666,-50.8068,-33.1408,-24.3078,42.2564,Phlorizin,60,seed-1-3-1-2-1
seed-1-20-1-2-3.crd,24,7,97.017916,97.017916,-7.7143,12.7674,-47.6284,-34.8611,-28.4774,39.519,Baicalin,101,seed-1-20-1-2-3
seed-1-17-0-3-0.crd,6,2,59.031927,59.031927,-7.709,19.0741,-51.6524,-32.5783,-23.0413,42.0541,Isoorientin,50,seed-1-17-0-3-0
seed-1-19-0-2-0.crd,24,2,56.513698,56.513698,-7.708,19.086,-51.6502,-32.5642,-23.0211,39.2726,Phlorizin,127,seed-1-19-0-2-0
seed-1-6-1-0-0.crd,5,2,44.010144,44.010144,-7.7048,11.0202,-46.3981,-35.3778,-29.8677,41.9277,Phlorizin,29,seed-1-6-1-0-0
seed-1-6-0-3-2.crd,6,3,83.534214,83.534214,-7.7046,14.073,-48.3705,-34.2975,-27.261,40.592,Baicalin,33,seed-1-6-0-3-2
seed-1-12-0-0-0.crd,0,4,-17.033569,-17.033569,-7.7044,11.5638,-46.7451,-35.1813,-29.3995,36.2409,Tricetin,4,seed-1-12-0-0-0
seed-1-16-1-2-0.crd,1,1,-33.258005,-33.258005,-7.704,11.4071,-46.6397,-35.2326,-29.529,41.3026,Farrerol,9,seed-1-16-1-2-0
seed-1-14-0-0-3.crd,1,4,16.984908,16.984908,-7.7024,15.5941,-49.3312,-33.7372,-25.9401,35.8245,Robinetin,12,seed-1-14-0-0-3
seed-1-13-1-0-2.crd,7,5,112.699559,112.699559,-7.7012,9.9581,-45.6731,-35.715,-30.736,40.3619,Baicalin,43,seed-1-13-1-0-2
seed-1-7-0-0-2.crd,7,2,80.099026,80.099026,-7.6956,13.4653,-47.8825,-34.4172,-27.6845,40.635,Baicalin,40,seed-1-7-0-0-2
seed-1-19-1-2-2.crd,44,1,71.876263,71.876263,-7.6939,13.9912,-48.205,-34.2137,-27.2181,42.2884,Isoorientin,169,seed-1-19-1-2-2
seed-1-12-0-2-1.crd,10,8,58.149262,58.149262,-7.6938,15.3546,-49.0852,-33.7306,-26.0533,41.6834,Phlorizin,63,seed-1-12-0-2-1
seed-1-23-0-2-3.crd,23,5,61.924538,61.924538,-7.6923,23.2542,-54.1806,-30.9264,-19.2993,40.2004,Phlorizin,122,seed-1-23-0-2-3
seed-1-14-0-1-0.crd,1,5,-16.68728,-16.68728,-7.6897,14.1894,-48.2883,-34.0989,-27.0042,36.2916,Tricetin,13,seed-1-14-0-1-0
seed-1-13-0-1-3.crd,14,1,61.576888,61.576888,-7.6894,9.8753,-45.4939,-35.6187,-30.681,43.9644,Isoorientin,87,seed-1-13-0-1-3
seed-1-0-1-2-3.crd,8,5,7.726374,7.726374,-7.6871,10.6676,-45.9828,-35.3152,-29.9814,36.2737,Myricetin,59,seed-1-0-1-2-3
seed-1-14-0-0-2.crd,7,1,80.080664,80.080664,-7.6866,13.4928,-47.8055,-34.3127,-27.5663,40.627,Baicalin,39,seed-1-14-0-0-2
seed-1-5-1-0-1.crd,1,2,-33.190194,-33.190194,-7.685,11.3627,-46.4102,-35.0475,-29.3662,41.303,Farrerol,10,seed-1-5-1-0-1
seed-1-11-0-3-2.crd,28,2,54.300666,54.300666,-7.6839,12.2478,-46.9713,-34.7236,-28.5997,40.7052,Phlorizin,136,seed-1-11-0-3-2
seed-1-12-1-0-2.crd,22,3,64.954281,64.954281,-7.6836,12.7744,-47.3089,-34.5345,-28.1473,43.696,Isoorientin,107,seed-1-12-1-0-2
seed-1-3-0-2-3.crd,23,2,54.303472,54.303472,-7.682,22.756,-53.7489,-30.9929,-19.6149,40.2606,Phlorizin,119,seed-1-3-0-2-3
seed-1-6-0-3-2.crd,28,1,53.596432,53.596432,-7.6819,12.2988,-46.9834,-34.6846,-28.5352,40.8735,Phlorizin,135,seed-1-6-0-3-2
seed-1-5-0-3-3.crd,2,2,-16.272702,-16.272702,-7.6797,14.8352,-48.6004,-33.7652,-26.3476,35.6213,Tricetin,18,seed-1-5-0-3-3
seed-1-12-1-0-3.crd,20,1,8.183982,8.183982,-7.6782,17.4156,-50.2539,-32.8384,-24.1306,36.3257,Myricetin,104,seed-1-12-1-0-3
seed-1-8-1-0-3.crd,2,1,0.506851,0.506851,-7.6772,14.3557,-48.2643,-33.9086,-26.7307,36.8102,Myricetin,10,seed-1-8-1-0-3
seed-1-6-0-3-3.crd,33,2,58.698401,58.698401,-7.676,10.4308,-45.7121,-35.2813,-30.0659,41.2452,Phlorizin,147,seed-1-6-0-3-3
seed-1-4-0-2-0.crd,0,7,4.041814,4.041814,-7.6752,16.3197,-49.5139,-33.1942,-25.0343,36.1491,Myricetin,7,seed-1-4-0-2-0
seed-1-6-0-3-3.crd,2,3,-14.047929,-14.047929,-7.6741,14.5894,-48.3824,-33.7931,-26.4984,35.6597,Tricetin,19,seed-1-6-0-3-3
seed-1-14-0-2-3.crd,1,7,-28.73485,-28.73485,-7.672,15.3808,-48.8718,-33.4911,-25.8007,41.299,Farrerol,15,seed-1-14-0-2-3
seed-1-14-1-0-3.crd,8,2,45.7594,45.7594,-7.6712,16.6413,-49.6788,-33.0376,-24.7169,41.2361,Phlorizin,47,seed-1-14-1-0-3
seed-1-4-0-2-3.crd,3,4,-16.386127,-16.386127,-7.6712,14.1309,-48.0555,-33.9246,-26.8592,36.2307,Tricetin,23,seed-1-4-0-2-3
seed-1-20-0-3-2.crd,37,1,69.212124,69.212124,-7.6707,16.1496,-49.3556,-33.206,-25.1312,43.3643,Isoorientin,158,seed-1-20-0-3-2
seed-1-9-0-1-0.crd,1,3,-30.092577,-30.092577,-7.669,11.92,-46.601,-34.681,-28.721,41.3323,Farrerol,11,seed-1-9-0-1-0
seed-1-12-0-0-3.crd,2,1,13.510064,13.510064,-7.6675,11.4172,-46.2605,-34.8433,-29.1347,36.9379,Robinetin,15,seed-1-12-0-0-3
seed-1-18-0-0-2.crd,11,7,72.214977,72.214977,-7.6648,16.8703,-49.76,-32.8897,-24.4546,43.0767,Isoorientin,73,seed-1-18-0-0-2
seed-1-7-1-0-3.crd,34,3,96.09266,96.09266,-7.6626,23.1769,-53.8166,-30.6397,-19.0512,39.8649,Baicalin,131,seed-1-7-1-0-3
seed-1-20-1-0-0.crd,27,1,53.240386,53.240386,-7.6606,12.4953,-46.885,-34.3897,-28.1421,39.6193,Phlorizin,133,seed-1-20-1-0-0
seed-1-3-1-0-1.crd,19,4,89.46555,89.46555,-7.6591,21.223,-52.5149,-31.2918,-20.6803,42.2591,Baicalin,88,seed-1-3-1-0-1
seed-1-17-0-0-3.crd,17,2,87.305872,87.305872,-7.6556,23.2663,-53.8005,-30.5342,-18.901,40.3396,Baicalin,77,seed-1-17-0-0-3
seed-1-3-1-0-3.crd,2,4,4.690067,4.690067,-7.6524,15.7199,-48.8846,-33.1647,-25.3047,36.9496,Myricetin,13,seed-1-3-1-0-3
seed-1-17-0-3-2.crd,20,1,63.756788,63.756788,-7.6418,10.3477,-45.2966,-34.9489,-29.775,41.3563,Isoorientin,102,seed-1-17-0-3-2
seed-1-20-1-2-3.crd,32,1,66.903631,66.903631,-7.6383,20.2175,-51.6455,-31.4279,-21.3192,42.0923,Isoorientin,129,seed-1-20-1-2-3
seed-1-21-0-0-2.crd,11,1,58.936416,58.936416,-7.6381,16.3519,-49.1424,-32.7905,-24.6146,43.2099,Isoorientin,67,seed-1-21-0-0-2
seed-1-5-1-2-1.crd,37,2,96.24924,96.24924,-7.6368,18.6068,-50.5866,-31.9798,-22.6764,40.4547,Baicalin,138,seed-1-5-1-2-1
seed-1-18-0-0-2.crd,17,1,50.196218,50.196218,-7.635,13.2741,-47.1179,-33.8438,-27.2067,39.6465,Phlorizin,92,seed-1-18-0-0-2
seed-1-19-0-1-2.crd,10,1,81.392435,81.392435,-7.6286,17.0739,-49.5092,-32.4353,-23.8984,40.2128,Baicalin,54,seed-1-19-0-1-2
seed-1-12-0-1-3.crd,15,1,84.261307,84.261307,-7.6275,19.1809,-50.8603,-31.6793,-22.0888,41.171,Baicalin,67,seed-1-12-0-1-3
seed-1-12-0-1-2.crd,10,4,91.075449,91.075449,-7.6266,19.0202,-50.7464,-31.7262,-22.2161,40.1724,Baicalin,57,seed-1-12-0-1-2
seed-1-7-0-3-2.crd,6,5,85.507389,85.507389,-7.626,16.2488,-48.9475,-32.6987,-24.5743,40.3712,Baicalin,35,seed-1-7-0-3-2
seed-1-21-1-2-0.crd,9,1,45.005345,45.005345,-7.6248,12.3598,-46.419,-34.0592,-27.8793,40.4114,Phlorizin,50,seed-1-21-1-2-0
seed-1-19-1-0-2.crd,18,1,50.611408,50.611408,-7.6247,16.9212,-49.3691,-32.4479,-23.9873,39.9379,Phlorizin,100,seed-1-19-1-0-2
seed-1-11-1-0-0.crd,5,3,45.283827,45.283827,-7.6236,12.5944,-46.5578,-33.9634,-27.6662,41.8339,Phlorizin,30,seed-1-11-1-0-0
